"year","month","rtime","fpi"
1995,1,1995.0833333333333,110.7
1995,2,1995.1666666666667,110.40000000000001
1995,3,1995.25,109.8
1995,4,1995.3333333333333,109.3
1995,5,1995.4166666666667,109.8
1995,6,1995.5,113.8
1995,7,1995.5833333333333,113.7
1995,8,1995.6666666666667,114.59999999999999
1995,9,1995.75,113.40000000000001
1995,10,1995.8333333333333,111.5
1995,11,1995.9166666666667,110.09999999999999
1995,12,1996,110.90000000000001
1996,1,1996.0833333333333,112.2
1996,2,1996.1666666666667,112.5
1996,3,1996.25,111.90000000000001
1996,4,1996.3333333333333,112.90000000000001
1996,5,1996.4166666666667,114
1996,6,1996.5,116.5
1996,7,1996.5833333333333,117.40000000000001
1996,8,1996.6666666666667,117.90000000000001
1996,9,1996.75,118.40000000000001
1996,10,1996.8333333333333,116.2
1996,11,1996.9166666666667,115.7
1996,12,1997,117.09999999999999
1997,1,1997.0833333333333,119.09999999999999
1997,2,1997.1666666666667,119.2
1997,3,1997.25,117.2
1997,4,1997.3333333333333,115.3
1997,5,1997.4166666666667,115.3
1997,6,1997.5,119.8
1997,7,1997.5833333333333,119.59999999999999
1997,8,1997.6666666666667,118.59999999999999
1997,9,1997.75,119.7
1997,10,1997.8333333333333,117.40000000000001
1997,11,1997.9166666666667,117.7
1997,12,1998,115.8
1998,1,1998.0833333333333,114.5
1998,2,1998.1666666666667,112.8
1998,3,1998.25,112.5
1998,4,1998.3333333333333,112.3
1998,5,1998.4166666666667,113.2
1998,6,1998.5,116.8
1998,7,1998.5833333333333,116.8
1998,8,1998.6666666666667,115.90000000000001
1998,9,1998.75,115.2
1998,10,1998.8333333333333,112
1998,11,1998.9166666666667,111.40000000000001
1998,12,1999,111.40000000000001
1999,1,1999.0833333333333,110.90000000000001
1999,2,1999.1666666666667,110.59999999999999
1999,3,1999.25,110.5
1999,4,1999.3333333333333,110.2
1999,5,1999.4166666666667,111
1999,6,1999.5,115.09999999999999
1999,7,1999.5833333333333,116
1999,8,1999.6666666666667,116.2
1999,9,1999.75,117.59999999999999
1999,10,1999.8333333333333,115
1999,11,1999.9166666666667,114.59999999999999
1999,12,2000,114.09999999999999
2000,1,2000.0833333333333,114.3
2000,2,2000.1666666666667,117.59999999999999
2000,3,2000.25,116.3
2000,4,2000.3333333333333,116.09999999999999
2000,5,2000.4166666666667,116.8
2000,6,2000.5,124
2000,7,2000.5833333333333,126.5
2000,8,2000.6666666666667,125.90000000000001
2000,9,2000.75,129.09999999999999
2000,10,2000.8333333333333,128.30000000000001
2000,11,2000.9166666666667,127.7
2000,12,2001,130.59999999999999
2001,1,2001.0833333333333,139.80000000000001
2001,2,2001.1666666666667,138
2001,3,2001.25,136.30000000000001
2001,4,2001.3333333333333,135.09999999999999
2001,5,2001.4166666666667,136.80000000000001
2001,6,2001.5,141.59999999999999
2001,7,2001.5833333333333,140.5
2001,8,2001.6666666666667,138
2001,9,2001.75,135.69999999999999
2001,10,2001.8333333333333,129.09999999999999
2001,11,2001.9166666666667,127.8
2001,12,2002,126.2
2002,1,2002.0833333333333,125.3
2002,2,2002.1666666666667,123.7
2002,3,2002.25,123.8
2002,4,2002.3333333333333,123.8
2002,5,2002.4166666666667,125.09999999999999
2002,6,2002.5,130.30000000000001
2002,7,2002.5833333333333,130.80000000000001
2002,8,2002.6666666666667,130.69999999999999
2002,9,2002.75,131
2002,10,2002.8333333333333,127.90000000000001
2002,11,2002.9166666666667,127
2002,12,2003,127.5
2003,1,2003.0833333333333,129.5
2003,2,2003.1666666666667,131.90000000000001
2003,3,2003.25,138.5
2003,4,2003.3333333333333,136.80000000000001
2003,5,2003.4166666666667,137.5
2003,6,2003.5,143.40000000000001
2003,7,2003.5833333333333,143.59999999999999
2003,8,2003.6666666666667,143
2003,9,2003.75,143.40000000000001
2003,10,2003.8333333333333,138.19999999999999
2003,11,2003.9166666666667,135.69999999999999
2003,12,2004,136.5
2004,1,2004.0833333333333,139.19999999999999
2004,2,2004.1666666666667,139.5
2004,3,2004.25,137.59999999999999
2004,4,2004.3333333333333,138
2004,5,2004.4166666666667,140.40000000000001
2004,6,2004.5,148.5
2004,7,2004.5833333333333,149.5
2004,8,2004.6666666666667,150.5
2004,9,2004.75,149.30000000000001
2004,10,2004.8333333333333,144.90000000000001
2004,11,2004.9166666666667,147.80000000000001
2004,12,2005,148
